"ID","CODE","SCREENS_ID","SELECTION","HIDEFLG","SEQNO","ROWPOS","COLPOS","PARAGRAPH","WIDTH","TYPE","DATAPRECISION","DATASCALE","INDISP","SUBINDISP","EDITABLE","MAXVALUE","MINVALUE","EDOPTSIZE","EDOPTMAXLENGTH","EDOPTVALUE","EDOPTMULTIPLE","EDOPTROW","EDOPTCOLS","LISTOPTIONS","TBLKEY","SUMKEY","CRTFIELD","EXPIREDATE","REMARK","PERSONS_ID_UPD","UPDATE_IP","CREATED_AT","UPDATED_AT"
1027,"pobject_chartype",21,1,0,888,1,1,,60,"VARCHAR2",,,0,,1,,,10,10,,,,,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:15:56,2013/07/05 3:15:56
1028,"id",21,1,1,999,,,,132,"NUMBER",38,0,0,,,,,22,22,,,,,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:15:56,2013/07/05 3:15:56
1029,"pobject_id",21,1,1,999,,,,132,"NUMBER",38,0,0,,0,,,22,22,,,,,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:15:56,2013/07/05 3:15:56
1030,"pobject_objecttype",21,1,0,888,2,1,,6,"CHAR",,,0,,1,,,1,1,,,,,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:15:56,2013/07/05 3:15:56
1031,"pobject_code",21,1,0,888,3,1,,180,"VARCHAR2",,,1,,1,,,30,30,,,,,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:15:56,2013/07/05 3:15:56
1032,"pobject_fieldlength",21,1,0,888,4,1,,132,"NUMBER",4,0,0,,1,,,22,22,,,,,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:15:56,2013/07/05 3:15:56
1033,"pobject_datapresion",21,1,0,888,5,1,,132,"NUMBER",2,0,0,,1,,,22,22,,,,,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:15:56,2013/07/05 3:15:56
1034,"pobject_datascale",21,1,0,888,6,1,,132,"NUMBER",2,0,0,,1,,,22,22,,,,,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:15:56,2013/07/05 3:15:56
1035,"pobject_contens",21,1,0,888,7,1,,300,"textarea",,,0,,1,,,200,200,,,2,80,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:15:56,2013/07/05 3:15:56
1036,"pobject_remark",21,1,0,888,8,1,,300,"textarea",,,0,,1,,,200,200,,,2,80,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:15:56,2013/07/05 3:15:56
1037,"pobject_rubycode",21,1,0,888,9,1,,300,"textarea",,,0,,1,,,4000,4000,,,10,80,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:15:56,2013/07/05 3:15:56
1038,"pobject_person_id_upd",21,1,1,999,,,,60,"NUMBER",38,0,0,,0,,,22,22,,,,,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:15:56,2013/07/05 3:15:56
1039,"person_code_upd",21,1,0,999,,,,60,"VARCHAR2",,,0,,,,,10,10,,,,,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:15:56,2013/07/05 3:15:56
1040,"person_name_upd",21,1,0,999,,,,60,"VARCHAR2",,,0,,,,,50,50,,,,,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:15:56,2013/07/05 3:15:56
1041,"person_email_upd",21,1,0,999,,,,60,"VARCHAR2",,,0,,,,,50,50,,,,,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:15:56,2013/07/05 3:15:56
1042,"person_remark_upd",21,1,0,999,,,,60,"VARCHAR2",,,0,,,,,100,100,,,,,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:15:56,2013/07/05 3:15:56
1043,"usergroup_code_upd",21,1,0,999,,,,60,"VARCHAR2",,,0,,,,,30,30,,,,,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:15:56,2013/07/05 3:15:56
1044,"usergroup_name_upd",21,1,0,999,,,,60,"VARCHAR2",,,0,,,,,20,20,,,,,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:15:56,2013/07/05 3:15:56
1045,"pobject_update_ip",21,1,0,999,,,,60,"VARCHAR2",,,0,,0,,,40,40,,,,,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:15:56,2013/07/05 3:15:56
1046,"pobject_created_at",21,1,0,999,,,,60,"DATE",,,0,,0,,,10,7,,,,,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:15:56,2013/07/05 3:15:56
1047,"pobject_expiredate",21,1,0,888,10,1,,60,"DATE",,,0,,1,,,10,7,,,,,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:15:56,2013/07/05 3:15:56
1048,"pobject_updated_at",21,1,0,999,,,,60,"DATE",,,0,,0,,,10,7,,,,,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:15:56,2013/07/05 3:15:56
1049,"pobject_ukeyflg",21,1,0,888,11,1,,6,"CHAR",,,0,,1,,,1,1,,,,,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:15:56,2013/07/05 3:15:56
1050,"screen_id",28,1,1,999,,,,132,"NUMBER",38,0,0,,0,,,22,22,,,,,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:16:11,2013/07/05 3:16:11
1051,"screen_code",28,1,0,888,1,1,,180,"VARCHAR2",,,1,,1,,,30,30,,,,,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:16:11,2013/07/05 3:16:11
1052,"screen_viewname",28,1,0,888,2,1,,180,"VARCHAR2",,,0,,1,,,30,30,,,,,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:16:11,2013/07/05 3:16:11
1053,"screen_strselect",28,1,0,888,3,1,,300,"textarea",,,0,,1,,,4000,4000,,,10,80,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:16:11,2013/07/05 3:16:11
1054,"screen_strwhere",28,1,0,888,4,1,,300,"textarea",,,0,,1,,,4000,4000,,,10,80,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:16:11,2013/07/05 3:16:11
1055,"screen_strgrouporder",28,1,0,888,5,1,,300,"textarea",,,0,,1,,,4000,4000,,,10,80,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:16:11,2013/07/05 3:16:11
1056,"screen_ymlcode",28,1,0,888,6,1,,300,"textarea",,,0,,1,,,4000,4000,,,10,80,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:16:11,2013/07/05 3:16:11
1057,"screen_cdrflayout",28,1,0,888,7,1,,60,"VARCHAR2",,,0,,1,,,10,10,,,,,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:16:11,2013/07/05 3:16:11
1058,"screen_expiredate",28,1,0,888,8,1,,60,"DATE",,,0,,1,,,10,7,,,,,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:16:11,2013/07/05 3:16:11
1059,"screen_remark",28,1,0,888,9,1,,300,"textarea",,,0,,1,,,200,200,,,2,80,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:16:11,2013/07/05 3:16:11
1060,"screen_person_id_upd",28,1,1,999,,,,60,"NUMBER",38,0,0,,0,,,22,22,,,,,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:16:11,2013/07/05 3:16:11
1061,"person_code_upd",28,1,0,999,,,,60,"VARCHAR2",,,0,,,,,10,10,,,,,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:16:11,2013/07/05 3:16:11
1062,"person_name_upd",28,1,0,999,,,,60,"VARCHAR2",,,0,,,,,50,50,,,,,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:16:11,2013/07/05 3:16:11
1063,"person_email_upd",28,1,0,999,,,,60,"VARCHAR2",,,0,,,,,50,50,,,,,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:16:11,2013/07/05 3:16:11
1064,"person_remark_upd",28,1,0,999,,,,60,"VARCHAR2",,,0,,,,,100,100,,,,,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:16:11,2013/07/05 3:16:11
1065,"usergroup_code_upd",28,1,0,999,,,,60,"VARCHAR2",,,0,,,,,30,30,,,,,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:16:11,2013/07/05 3:16:11
1066,"usergroup_name_upd",28,1,0,999,,,,60,"VARCHAR2",,,0,,,,,20,20,,,,,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:16:11,2013/07/05 3:16:11
1067,"screen_update_ip",28,1,0,999,,,,60,"VARCHAR2",,,0,,0,,,40,40,,,,,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:16:11,2013/07/05 3:16:11
1068,"screen_created_at",28,1,0,999,,,,60,"DATE",,,0,,0,,,10,7,,,,,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:16:11,2013/07/05 3:16:11
1069,"screen_updated_at",28,1,0,999,,,,60,"DATE",,,0,,0,,,10,7,,,,,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:16:11,2013/07/05 3:16:11
1070,"id",28,1,1,999,,,,132,"NUMBER",38,0,0,,,,,22,22,,,,,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:16:11,2013/07/05 3:16:11
